,AdID,Title,Type,YearBuilt,Link,Seller,Size,SalePrice,lastUpdate
0,6327522,BEGUNJE NA GORENJSKEM,Počitniški objekt,1989,/oglasi-prodaja/begunje-na-gorenjskem-pocitniski-objekt_6327522/,ABC nepremičnine d.o.o.,800.0,1300000.0,2021-03-08 13:11:31.457105
1,6141186,BENEDIKT,Stanovanje,2010,/oglasi-prodaja/benedikt-stanovanje_6141186/,"DUTB, d.d.",52.7,62900.0,2021-03-08 13:11:31.462092
2,6390803,"BEŽIGRAJSKI DVOR, PLAVA LAGUNA",Stanovanje,1974,/oglasi-prodaja/bezigrajski-dvor-plava-laguna-stanovanje_6390803/,"QUDOS, center nepremičnin d.o.o.",119.0,323000.0,2021-03-08 13:11:31.470070
3,6327267,BLED,Stanovanje,1984,/oglasi-prodaja/bled-stanovanje_6327267/,Adut nepremičnine d.o.o.,96.1,150000.0,2021-03-08 13:11:31.474059
4,6235186,BLED,Poslovni prostor,1800,/oglasi-prodaja/bled-poslovni-prostor_6235186/,K3 Kern d.o.o.,548.8,1100000.0,2021-03-08 13:11:31.479046
5,6387983,BODEŠČE,Hiša,1800,/oglasi-prodaja/bodesce-hisa_6387983/,Zasebna ponudba,300.0,290000.0,2021-03-08 13:11:31.483035
6,6320190,BREZOVICA PRI LJUBLJANI,Hiša,2007,/oglasi-prodaja/brezovica-pri-ljubljani-hisa_6320190/,ABC nepremičnine d.o.o.,495.0,399000.0,2021-03-08 13:11:31.491072
7,6272771,"BREZOVICA PRI LJUBLJANI, SREDIŠČE BREZOVICE",Posest,,/oglasi-prodaja/brezovica-pri-ljubljani-sredisce-brezovice-posest_6272771/,Dajč & Dajč d.o.o.,1529.0,185.0,2021-03-08 13:11:31.497995
8,6129674,BRITOF,Posest,,/oglasi-prodaja/britof-posest_6129674/,"DUTB, d.d.",21939.0,1950000.0,2021-03-08 13:11:31.503979
9,6389137,BRTONIGLA,Hiša,2021,/oglasi-prodaja/brtonigla-hisa_6389137/,Universum d.o.o.,233.0,380000.0,2021-03-08 13:11:31.508965
10,6389254,BRZAC,Hiša,2020,/oglasi-prodaja/brzac-hisa_6389254/,Alfa Elmas d.o.o. ,168.45,415000.0,2021-03-08 13:11:31.512954
11,6389036,BS 3,Stanovanje,1981,/oglasi-prodaja/bs-3-stanovanje_6389036/,Studio 68 d.o.o.,73.0,210000.0,2021-03-08 13:11:31.517942
12,6391861,"BTC, BALKON - DVIGALO - NOVA FASADA",Stanovanje,1978,/oglasi-prodaja/btc-balkon-dvigalo-nova-fasada-stanovanje_6391861/,VIN inženiring d.o.o.,61.2,243700.0,2021-03-08 13:11:31.522928
13,6391220,CELJE,Stanovanje,1954,/oglasi-prodaja/celje-stanovanje_6391220/,"Agenti Celje, AŽ&MB Nerad d.o.o.",85.0,150000.0,2021-03-08 13:11:31.526918
14,6383557,CELJE,Stanovanje,2021,/oglasi-prodaja/celje-stanovanje_6383557/,Borza nepremičnin d.o.o.,85.1,180320.0,2021-03-08 13:11:31.532939
15,6352479,CELJE,Hiša,2020,/oglasi-prodaja/celje-hisa_6352479/,Bajtiga poslovanje z nepremičninami d.o.o.,107.0,109000.0,2021-03-08 13:11:31.538886
16,6391479,CELJE,Hiša,,/oglasi-prodaja/celje-hisa_6391479/,KAPITOL posredovanje d.o.o.,450.0,1525000.0,2021-03-08 13:11:31.543872
17,6347977,"CELJE, CENTER - GLAZIJA",Stanovanje,2019,/oglasi-prodaja/celje-center-glazija-stanovanje_6347977/,"ANSITRA, nepremičnine d.o.o.",115.2,252337.5,2021-03-08 13:11:31.548859
18,6375238,"CELJE, CENTER - GLAZIJA",Stanovanje,2019,/oglasi-prodaja/celje-center-glazija-stanovanje_6375238/,"ANSITRA, nepremičnine d.o.o.",129.7,273355.0,2021-03-08 13:11:31.552848
