,AdID,Type,Link,TimeScraped
980,6362966,Stanovanje,/oglasi-prodaja/prule-stanovanje_6362966/,2021-03-08 18:37:59.639378
981,6362964,Stanovanje,/oglasi-prodaja/prule-stanovanje_6362964/,2021-03-08 18:37:59.642370
982,6362965,Stanovanje,/oglasi-prodaja/prule-stanovanje_6362965/,2021-03-08 18:37:59.645362
983,6388725,Stanovanje,/oglasi-prodaja/prule-stanovanje_6388725/,2021-03-08 18:37:59.648389
984,6387955,Stanovanje,/oglasi-prodaja/prule-stanovanje_6387955/,2021-03-08 18:37:59.651382
985,6362971,Stanovanje,/oglasi-prodaja/prule-stanovanje_6362971/,2021-03-08 18:37:59.654374
986,6391615,Stanovanje,/oglasi-prodaja/prule-prijateljeva-stanovanje_6391615/,2021-03-08 18:37:59.657349
987,6370948,Stanovanje,/oglasi-prodaja/prule-tesarska-ulica-stanovanje_6370948/,2021-03-08 18:37:59.660358
988,6381936,Stanovanje,/oglasi-prodaja/przan-stanovanje_6381936/,2021-03-08 18:37:59.663315
989,6311634,Stanovanje,/oglasi-prodaja/przan-stanovanje_6311634/,2021-03-08 18:37:59.666342
990,6198382,Stanovanje,/oglasi-prodaja/przan-stanovanje_6198382/,2021-03-08 18:38:00.738945
991,6390536,Stanovanje,/oglasi-prodaja/rakova-jelsa-stanovanje_6390536/,2021-03-08 18:38:00.742937
992,6385085,Stanovanje,/oglasi-prodaja/rakova-jelsa-stanovanje_6385085/,2021-03-08 18:38:00.745895
993,6385084,Stanovanje,/oglasi-prodaja/rakova-jelsa-stanovanje_6385084/,2021-03-08 18:38:00.749886
994,6388125,Stanovanje,/oglasi-prodaja/rakovnik-stanovanje_6388125/,2021-03-08 18:38:00.752878
995,6392804,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6392804/,2021-03-08 18:38:00.755870
996,6383361,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6383361/,2021-03-08 18:38:00.759857
997,6391980,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6391980/,2021-03-08 18:38:00.762849
998,6271444,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6271444/,2021-03-08 18:38:00.765874
999,6389600,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6389600/,2021-03-08 18:38:00.769867
1000,6368204,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6368204/,2021-03-08 18:38:00.772862
1001,6381787,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6381787/,2021-03-08 18:38:00.777845
1002,6390966,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6390966/,2021-03-08 18:38:00.782831
1003,6382639,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6382639/,2021-03-08 18:38:00.788814
1004,6368206,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6368206/,2021-03-08 18:38:00.793768
1005,6376780,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6376780/,2021-03-08 18:38:00.796759
1006,6390722,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6390722/,2021-03-08 18:38:00.799751
1007,6271437,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6271437/,2021-03-08 18:38:00.802743
1008,6368197,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6368197/,2021-03-08 18:38:00.806732
1009,6378457,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6378457/,2021-03-08 18:38:00.809722
1010,6321096,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6321096/,2021-03-08 18:38:00.813746
1011,6360764,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6360764/,2021-03-08 18:38:00.816738
1012,6368198,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6368198/,2021-03-08 18:38:00.819697
1013,6368199,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6368199/,2021-03-08 18:38:00.822690
1014,6377394,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6377394/,2021-03-08 18:38:00.826711
1015,6390961,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6390961/,2021-03-08 18:38:00.829703
1016,6381611,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6381611/,2021-03-08 18:38:00.832695
1017,6392220,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6392220/,2021-03-08 18:38:00.835689
1018,6370758,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6370758/,2021-03-08 18:38:00.838681
1019,6377116,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6377116/,2021-03-08 18:38:00.843668
1020,6392217,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6392217/,2021-03-08 18:38:01.672414
1021,6377226,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6377226/,2021-03-08 18:38:01.676403
1022,6378456,Stanovanje,/oglasi-prodaja/rozna-dolina-stanovanje_6378456/,2021-03-08 18:38:01.679395
1023,6186940,Stanovanje,/oglasi-prodaja/rozna-dolina-blizina-roznika-pst--atrij-stanovanje_6186940/,2021-03-08 18:38:01.682387
1024,6192199,Stanovanje,/oglasi-prodaja/rozna-dolina-nakup-kot-investicija-stanovanje_6192199/,2021-03-08 18:38:01.685379
1025,6366412,Stanovanje,/oglasi-prodaja/rozna-dolina-velik-atrij-blizina-centra-lj-stanovanje_6366412/,2021-03-08 18:38:01.688371
1026,6382670,Stanovanje,/oglasi-prodaja/rozna-dolina-viska-cesta-stanovanje_6382670/,2021-03-08 18:38:01.692361
1027,6392728,Stanovanje,/oglasi-prodaja/rudnik-stanovanje_6392728/,2021-03-08 18:38:01.695353
1028,6381813,Stanovanje,/oglasi-prodaja/rudnik-stanovanje_6381813/,2021-03-08 18:38:01.698345
1029,6296365,Stanovanje,/oglasi-prodaja/rudnik-stanovanje_6296365/,2021-03-08 18:38:01.701337
1030,6392021,Stanovanje,/oglasi-prodaja/rudnik-stanovanje_6392021/,2021-03-08 18:38:01.704329
1031,6389218,Stanovanje,/oglasi-prodaja/rudnik-stanovanje_6389218/,2021-03-08 18:38:01.707321
1032,6353578,Stanovanje,/oglasi-prodaja/rudnik-stanovanje_6353578/,2021-03-08 18:38:01.715333
