,AdID,Title,Type,YearBuilt,Link,Seller,Size,SalePrice,lastUpdate
4622,6390246,"VELENJE, SLOVENIJA",Stanovanje,1964,/oglasi-prodaja/velenje-slovenija-stanovanje_6390246/,Zasebna ponudba,56.0,80000.0,2021-03-08 16:19:06.884040
4623,6388499,"VELENJE, ŠALEK",Stanovanje,1984,/oglasi-prodaja/velenje-salek-stanovanje_6388499/,Zasebna ponudba,54.0,85000.0,2021-03-08 16:19:06.890025
4624,6389805,"VELENJE, ŠALEK",Stanovanje,1987,/oglasi-prodaja/velenje-salek-stanovanje_6389805/,Zasebna ponudba,71.0,109000.0,2021-03-08 16:19:06.895044
4625,6391329,"VELENJE, ŠALEK",Stanovanje,1986,/oglasi-prodaja/velenje-salek-stanovanje_6391329/,Bremis d.o.o.,77.5,110000.0,2021-03-08 16:19:06.901993
4626,6369116,VELI LOŠINJ,Stanovanje,2015,/oglasi-prodaja/veli-losinj-stanovanje_6369116/,Rojal invest d.o.o.,46.0,149000.0,2021-03-08 16:19:06.906978
4627,6381603,"VELIKA KLADUŠA, BIH",Stanovanje,2004,/oglasi-prodaja/velika-kladusa-bih-stanovanje_6381603/,Leran d.o.o.,59.5,800.0,2021-03-08 16:19:06.913994
4628,6370328,VELIKE LAŠČE,Stanovanje,2004,/oglasi-prodaja/velike-lasce-stanovanje_6370328/,KU-MI nepremičnine d.o.o.,120.0,148000.0,2021-03-08 16:19:06.918946
4629,6391496,VELIKO MLAČEVO,Stanovanje,1961,/oglasi-prodaja/veliko-mlacevo-stanovanje_6391496/,TRG NEPREMIČNIN d.o.o.,52.8,87000.0,2021-03-08 16:19:06.923968
4630,6340369,"VELIKO MLAČEVO, GROSUPLJE",Stanovanje,1976,/oglasi-prodaja/veliko-mlacevo-grosuplje-stanovanje_6340369/,KREATIVDOM d.o.o.,131.0,139000.0,2021-03-08 16:19:06.929918
4631,6287892,VERD,Stanovanje,1955,/oglasi-prodaja/verd-stanovanje_6287892/,Nepremičnine Plus d.o.o.,31.2,49000.0,2021-03-08 16:19:06.935901
4632,6391219,VIDEM,Stanovanje,2004,/oglasi-prodaja/videm-stanovanje_6391219/,Zasebna ponudba,46.2,125000.0,2021-03-08 16:19:06.940889
4633,6375580,VIDEM,Stanovanje,1996,/oglasi-prodaja/videm-stanovanje_6375580/,Zasebna ponudba,85.0,77000.0,2021-03-08 16:19:06.945908
4634,6281121,VINJERAC,Stanovanje,2015,/oglasi-prodaja/vinjerac-stanovanje_6281121/,Zasebna ponudba,47.0,77000.0,2021-03-08 16:19:06.950895
4635,6382235,VIPAVA,Stanovanje,1963,/oglasi-prodaja/vipava-stanovanje_6382235/,Zasebna ponudba,55.0,100000.0,2021-03-08 16:19:06.955883
4636,6311343,VIPAVA,Stanovanje,1961,/oglasi-prodaja/vipava-stanovanje_6311343/,Nepremičnine Land d.o.o.,74.6,110000.0,2021-03-08 16:19:06.960877
4637,6361702,VIR,Stanovanje,2008,/oglasi-prodaja/vir-stanovanje_6361702/,LGP d.o.o.,74.0,150000.0,2021-03-08 16:19:06.965821
4638,6384999,VIR,Stanovanje,2006,/oglasi-prodaja/vir-stanovanje_6384999/,Hiša nepremičnine 1 d.o.o.,123.9,197300.0,2021-03-08 16:19:06.970809
4639,6260036,"VIR, OTOK, NASELJE KOZJAK",Stanovanje,2018,/oglasi-prodaja/vir-otok-naselje-kozjak-stanovanje_6260036/,Fortuna int. d.o.o.,67.0,134000.0,2021-03-08 16:19:06.975831
4640,6317107,"VIS, MESTO",Stanovanje,1985,/oglasi-prodaja/vis-mesto-stanovanje_6317107/,Zasebna ponudba,82.0,140000.0,2021-03-08 16:19:06.980781
4641,6386201,VIŠNJA GORA,Stanovanje,2006,/oglasi-prodaja/visnja-gora-stanovanje_6386201/,Zasebna ponudba,85.0,195000.0,2021-03-08 16:19:06.985801
4642,6383158,"VIŠNJA GORA, S PM, BALKONOM ALI ATRIJEM",Stanovanje,2021,/oglasi-prodaja/visnja-gora-s-pm-balkonom-ali-atrijem-stanovanje_6383158/,EnN Pogled d.o.o.,76.0,2700.0,2021-03-08 16:19:06.990755
4643,6220514,VIŠNJAN,Stanovanje,2008,/oglasi-prodaja/visnjan-stanovanje_6220514/,"Sonce skupina d.o.o., PE Ljubljana",54.52,67000.0,2021-03-08 16:19:06.995769
4644,6220009,VIŠNJAN,Stanovanje,2014,/oglasi-prodaja/visnjan-stanovanje_6220009/,"Sonce skupina d.o.o., PE Ljubljana",66.94,93716.0,2021-03-08 16:19:07.000763
4645,6220010,VIŠNJAN,Stanovanje,2014,/oglasi-prodaja/visnjan-stanovanje_6220010/,"Sonce skupina d.o.o., PE Ljubljana",89.64,125496.0,2021-03-08 16:19:07.006713
4646,6220012,VIŠNJAN,Stanovanje,2014,/oglasi-prodaja/visnjan-stanovanje_6220012/,"Sonce skupina d.o.o., PE Ljubljana",93.87,131418.0,2021-03-08 16:19:07.012698
4647,6391181,"VITANJE, CENTER",Stanovanje,1985,/oglasi-prodaja/vitanje-center-stanovanje_6391181/,Zasebna ponudba,36.0,43000.0,2021-03-08 16:19:07.019679
4648,6277624,VIŽMARJE,Stanovanje,1967,/oglasi-prodaja/vizmarje-stanovanje_6277624/,ABC nepremičnine d.o.o.,59.1,145000.0,2021-03-08 16:19:07.025663
4649,6391991,VIŽMARJE,Stanovanje,2006,/oglasi-prodaja/vizmarje-stanovanje_6391991/,"Stoja trade, d.o.o., Ljubljana",154.4,415000.0,2021-03-08 16:19:07.031647
4650,6128902,"VIŽMARJE, TREBUŠAKOVA",Stanovanje,1980,/oglasi-prodaja/vizmarje-trebusakova-stanovanje_6128902/,"Branik prvi d.o.o., nepremičnine bios",135.0,220000.0,2021-03-08 16:19:07.983135
4651,6384644,"VNANJE GORICE, SLOVENIJA",Stanovanje,2009,/oglasi-prodaja/vnanje-gorice-slovenija-stanovanje_6384644/,Zasebna ponudba,112.31,245000.0,2021-03-08 16:19:07.988085
4652,6390346,VODMAT,Stanovanje,1962,/oglasi-prodaja/vodmat-stanovanje_6390346/,Zasebna ponudba,56.0,192000.0,2021-03-08 16:19:07.993072
4653,6389508,VODMAT,Stanovanje,1965,/oglasi-prodaja/vodmat-stanovanje_6389508/,METROPOLA IN d.o.o.,58.9,159000.0,2021-03-08 16:19:07.998058
4654,6388326,VODMAT,Stanovanje,1962,/oglasi-prodaja/vodmat-stanovanje_6388326/,MESTO NEPREMIČNIN d.o.o.,65.0,192000.0,2021-03-08 16:19:08.002048
4655,6349742,VODMAT,Stanovanje,1927,/oglasi-prodaja/vodmat-stanovanje_6349742/,"Lucia tim d.o.o., PE Nepremičnine",98.0,350000.0,2021-03-08 16:19:08.007034
4656,6322698,"VODNJAN, BARBARIGA",Stanovanje,1990,/oglasi-prodaja/vodnjan-barbariga-stanovanje_6322698/,Istra-immobilien obrt za poslovanje nekretninama,33.0,59000.0,2021-03-08 16:19:08.012021
4657,6358909,"VODNJAN, BARBARIGA",Stanovanje,1985,/oglasi-prodaja/vodnjan-barbariga-stanovanje_6358909/,ABC nepremičnine d.o.o.,46.0,78000.0,2021-03-08 16:19:08.020001
4658,6354378,"VODNJAN, BARBARIGA",Stanovanje,1990,/oglasi-prodaja/vodnjan-barbariga-stanovanje_6354378/,Istra-immobilien obrt za poslovanje nekretninama,54.0,62500.0,2021-03-08 16:19:08.026021
4659,6322693,"VODNJAN, BARBARIGA",Stanovanje,1990,/oglasi-prodaja/vodnjan-barbariga-stanovanje_6322693/,Istra-immobilien obrt za poslovanje nekretninama,54.0,62500.0,2021-03-08 16:19:08.030975
4660,6355693,"VODNJAN, ISTRA",Stanovanje,2019,/oglasi-prodaja/vodnjan-istra-stanovanje_6355693/,Studio modul d.o.o.,40.0,55000.0,2021-03-08 16:19:08.035960
4661,6374488,VOJNIK,Stanovanje,1850,/oglasi-prodaja/vojnik-stanovanje_6374488/,KAPITOL posredovanje d.o.o.,9.2,18500.0,2021-03-08 16:19:08.040946
4662,6391028,VOJNIK,Stanovanje,2008,/oglasi-prodaja/vojnik-stanovanje_6391028/,Geopro d.o.o.,53.2,105000.0,2021-03-08 16:19:08.045933
4663,6385976,VOJNIK,Stanovanje,1850,/oglasi-prodaja/vojnik-stanovanje_6385976/,"K trade - Krajnc, d.o.o.",55.4,84000.0,2021-03-08 16:19:08.050920
4664,6366990,VOJNIK,Stanovanje,2008,/oglasi-prodaja/vojnik-stanovanje_6366990/,Bajtiga poslovanje z nepremičninami d.o.o.,70.7,115500.0,2021-03-08 16:19:08.054909
4665,6367828,VOJNIK,Stanovanje,2008,/oglasi-prodaja/vojnik-stanovanje_6367828/,Bajtiga poslovanje z nepremičninami d.o.o.,87.0,155000.0,2021-03-08 16:19:08.059895
4666,6201486,VOJNIK,Stanovanje,2009,/oglasi-prodaja/vojnik-stanovanje_6201486/,"DUTB, d.d.",2447.0,1900000.0,2021-03-08 16:19:08.064918
4667,6371880,"VOJNIK, CELJSKA CESTA",Stanovanje,1850,/oglasi-prodaja/vojnik-celjska-cesta-stanovanje_6371880/,"K trade - Krajnc, d.o.o.",55.4,84000.0,2021-03-08 16:19:08.069902
4668,6255578,VRANJI VRH,Stanovanje,1958,/oglasi-prodaja/vranji-vrh-stanovanje_6255578/,"BR nepremičnine,d.o.o.",86.0,76260.0,2021-03-08 16:19:08.074889
4669,6312535,VRANSKO,Stanovanje,1850,/oglasi-prodaja/vransko-stanovanje_6312535/,Svet Real d.o.o.,46.0,65000.0,2021-03-08 16:19:08.079878
4670,6383544,VRANSKO,Stanovanje,2019,/oglasi-prodaja/vransko-stanovanje_6383544/,Borza nepremičnin d.o.o.,112.77,152713.0,2021-03-08 16:19:08.084862
