,AdID,Title,Type,YearBuilt,Link,Seller,Size,SalePrice,lastUpdate
74,6392920,"BREŽICE, ŽUPANČIČEVA ULICA 17",Stanovanje,1952,/oglasi-prodaja/brezice-zupanciceva-ulica-17-stanovanje_6392920/,Ministrstvo za obrambo Republike Slovenije,70.1,61300.0,2021-03-08 14:10:25.450776
75,6375692,BRIBIR,Hiša,1990,/oglasi-prodaja/bribir-hisa_6375692/,Kapital nekretnine d.o.o.,150.0,220000.0,2021-03-08 14:10:25.455766
76,6169930,BRIBIR,Posest,,/oglasi-prodaja/bribir-posest_6169930/,"Sonce skupina d.o.o., PE Ljubljana",1250.0,22000.0,2021-03-08 14:10:25.460714
77,6392535,BRINJE,Stanovanje,2014,/oglasi-prodaja/brinje-stanovanje_6392535/,"BAZA, posredovanje v prometu z nepremičninami, Brina Sotlar s.p.",150.9,670000.0,2021-03-08 14:10:25.465701
78,6376409,BRINJE,Stanovanje,2020,/oglasi-prodaja/brinje-stanovanje_6376409/,"RE/MAX Ljubljana, Nepremičninska družba d.o.o. ",183.96,541000.0,2021-03-08 14:10:25.470687
79,6352000,BRINJE,Stanovanje,2020,/oglasi-prodaja/brinje-stanovanje_6352000/,"RE/MAX Ljubljana, Nepremičninska družba d.o.o. ",183.96,559000.0,2021-03-08 14:10:25.474677
80,6351997,BRINJE,Stanovanje,2020,/oglasi-prodaja/brinje-stanovanje_6351997/,"RE/MAX Ljubljana, Nepremičninska družba d.o.o. ",201.63,671000.0,2021-03-08 14:10:25.478667
81,6351792,BRINJE,Stanovanje,2020,/oglasi-prodaja/brinje-stanovanje_6351792/,"RE/MAX Ljubljana, Nepremičninska družba d.o.o. ",203.16,671000.0,2021-03-08 14:10:25.483655
82,6182551,BRINJE,Poslovni prostor,1980,/oglasi-prodaja/brinje-poslovni-prostor_6182551/,METROPOLA IN d.o.o.,1575.0,2700000.0,2021-03-08 14:10:25.488644
83,6373268,BRITOF,Poslovni prostor,1960,/oglasi-prodaja/britof-poslovni-prostor_6373268/,"Nepremičnine ambient, Mojca Piršič s.p.",80.0,120000.0,2021-03-08 14:10:25.496620
84,6368817,BRITOF,Hiša,1974,/oglasi-prodaja/britof-hisa_6368817/,MP PROJEKT d.o.o.,270.0,289000.0,2021-03-08 14:10:25.502604
85,6389905,BRITOF,Hiša,1990,/oglasi-prodaja/britof-hisa_6389905/,Zasebna ponudba,270.0,339000.0,2021-03-08 14:10:25.507596
86,6308166,"BRITOF, OBRTNA CONA OLJARICA",Poslovni prostor,1950,/oglasi-prodaja/britof-obrtna-cona-oljarica-poslovni-prostor_6308166/,Oaza nepremičnine d.o.o.,683.5,130000.0,2021-03-08 14:10:25.513575
87,6362256,BRJE,Posest,,/oglasi-prodaja/brje-posest_6362256/,EURO NINE d.o.o.,920.0,64000.0,2021-03-08 14:10:25.518597
88,5631844,BRJE,Posest,,/oglasi-prodaja/brje-posest_5631844/,Svet Real d.o.o.,8403.0,2.5,2021-03-08 14:10:25.524544
89,6255750,BRJE PRI KOMNU,Poslovni prostor,1954,/oglasi-prodaja/brje-pri-komnu-poslovni-prostor_6255750/,"RE/MAX Ljubljana, Nepremičninska družba d.o.o. ",173.0,200000.0,2021-03-08 14:10:25.533519
90,6041692,BRJE PRI KOMNU,Posest,,/oglasi-prodaja/brje-pri-komnu-posest_6041692/,Renes d.o.o.,46487.0,25000.0,2021-03-08 14:10:27.277445
91,5719996,"BRJE PRI KOMNU, KOMEN OKOLICA",Hiša,1830.0,/oglasi-prodaja/brje-pri-komnu-komen-okolica-hisa_5719996/,"Ruj Nepremičnine, Jernej Suša, s.p.",194.0,114900.0,2021-03-08 14:10:27.281399
92,5676007,"BRJE PRI KOMNU, KOMEN OKOLICA",Hiša,1830.0,/oglasi-prodaja/brje-pri-komnu-komen-okolica-hisa_5676007/,"Ruj Nepremičnine, Jernej Suša, s.p.",194.0,139000.0,2021-03-08 14:10:27.286422
93,6355248,"BRJE, AJDOVŠČINA",Posest,,/oglasi-prodaja/brje-ajdovscina-posest_6355248/,EURO NINE d.o.o.,436.0,30000.0,2021-03-08 14:10:27.290411
94,6388003,"BRJE, EDINSTVENA LOKACIJA OB REKI VIPAVI",Hiša,1998.0,/oglasi-prodaja/brje-edinstvena-lokacija-ob-reki-vipavi-hisa_6388003/,ABC nepremičnine d.o.o.,940.0,250000.0,2021-03-08 14:10:27.295401
95,6379405,BRKAČ,Hiša,2020.0,/oglasi-prodaja/brkac-hisa_6379405/,Market center Omnis d.o.o.,220.0,890000.0,2021-03-08 14:10:27.300384
96,6386475,BRKAČ,Hiša,2021.0,/oglasi-prodaja/brkac-hisa_6386475/,Arx - primus d.o.o.,450.0,180000.0,2021-03-08 14:10:27.304375
97,6291343,BRNICA,Posest,,/oglasi-prodaja/brnica-posest_6291343/,Zasebna ponudba,2439.0,35000.0,2021-03-08 14:10:27.310322
98,6357221,"BRNICA, 27, DOL PRI HRASTNIKU",Hiša,1937.0,/oglasi-prodaja/brnica-27-dol-pri-hrastniku-hisa_6357221/,ELO-PROJEKTI d.o.o.,190.0,54000.0,2021-03-08 14:10:27.316306
99,6374779,BROD,Garaža,2005.0,/oglasi-prodaja/brod-garaza_6374779/,Zasebna ponudba,13.33,7790.0,2021-03-08 14:10:27.321293
100,6354000,BROD,Stanovanje,2004.0,/oglasi-prodaja/brod-stanovanje_6354000/,ABC nepremičnine d.o.o.,44.2,180000.0,2021-03-08 14:10:27.327277
101,6392536,BROD,Stanovanje,2017.0,/oglasi-prodaja/brod-stanovanje_6392536/,"BAZA, posredovanje v prometu z nepremičninami, Brina Sotlar s.p.",45.9,355600.0,2021-03-08 14:10:27.333260
102,6381385,BROD,Stanovanje,2017.0,/oglasi-prodaja/brod-stanovanje_6381385/,MESTO NEPREMIČNIN d.o.o.,93.0,355600.0,2021-03-08 14:10:27.338247
103,6383726,BROD,Stanovanje,2017.0,/oglasi-prodaja/brod-stanovanje_6383726/,Avenija nepremičnin d.o.o.,93.9,355600.0,2021-03-08 14:10:27.343273
104,6346495,BROD,Stanovanje,2020.0,/oglasi-prodaja/brod-stanovanje_6346495/,UAAU 4U d.o.o.,136.5,468000.0,2021-03-08 14:10:27.348220
105,6346566,BROD,Hiša,2020.0,/oglasi-prodaja/brod-hisa_6346566/,UAAU 4U d.o.o.,136.5,468000.0,2021-03-08 14:10:27.353244
106,6368909,BROD,Stanovanje,2006.0,/oglasi-prodaja/brod-stanovanje_6368909/,Rocco nepremičnine d.o.o.,171.0,490000.0,2021-03-08 14:10:27.357239
107,6383895,BROD,Stanovanje,2006.0,/oglasi-prodaja/brod-stanovanje_6383895/,MESTO NEPREMIČNIN d.o.o.,213.0,490000.0,2021-03-08 14:10:27.362219
108,6375743,BROD,Hiša,1930.0,/oglasi-prodaja/brod-hisa_6375743/,"Nepremičnine KLEMENČIČ, Borut Klemenčič Hočevar s.p.",255.0,850000.0,2021-03-08 14:10:27.367209
109,6286669,BROD,Hiša,2002.0,/oglasi-prodaja/brod-hisa_6286669/,Rocco nepremičnine d.o.o.,399.0,990000.0,2021-03-08 14:10:27.377179
110,6375735,BROD,Posest,,/oglasi-prodaja/brod-posest_6375735/,"Nepremičnine KLEMENČIČ, Borut Klemenčič Hočevar s.p.",2190.0,850000.0,2021-03-08 14:10:27.388112
111,6392160,BROD,Posest,,/oglasi-prodaja/brod-posest_6392160/,Zasebna ponudba,3013.0,150650.0,2021-03-08 14:10:27.392102
112,6347201,"BROD V PODBOČJU, KRŠKO",Hiša,1990.0,/oglasi-prodaja/brod-v-podbocju-krsko-hisa_6347201/,Kvadrat nepremičnine d.o.o.,204.0,250000.0,2021-03-08 14:10:27.397089
113,6392715,"BROD, ATRIJSKO",Stanovanje,2004.0,/oglasi-prodaja/brod-atrijsko-stanovanje_6392715/,"Agencija za posredovanje v prometu z nepremičninami, Aline Belinger s.p.",50.47,179000.0,2021-03-08 14:10:27.403110
114,6392385,"BROD, TACEN",Hiša,1950.0,/oglasi-prodaja/brod-tacen-hisa_6392385/,"Rebernik nepremičnine, Samo Rebernik s.p.",247.0,269000.0,2021-03-08 14:10:27.407102
115,6357768,"BROD, TACENSKA CESTA",Stanovanje,2004.0,/oglasi-prodaja/brod-tacenska-cesta-stanovanje_6357768/,"Erjavec nepremičnine, Erjavec Dušan s.p.",188.0,490000.0,2021-03-08 14:10:27.412085
116,6364743,BRTONIGLA,Stanovanje,1900.0,/oglasi-prodaja/brtonigla-stanovanje_6364743/,"Nepremičninska družba, d.o.o., PE RE/MAX Obala",28.78,79000.0,2021-03-08 14:10:27.417072
117,6304793,BRTONIGLA,Stanovanje,2019.0,/oglasi-prodaja/brtonigla-stanovanje_6304793/,Agencija Promova,65.0,120000.0,2021-03-08 14:10:27.423059
118,6386123,BRTONIGLA,Stanovanje,1950.0,/oglasi-prodaja/brtonigla-stanovanje_6386123/,Universum d.o.o.,69.0,148000.0,2021-03-08 14:10:27.427045
