,Ad_ID,Ad_Link,datetime
0,5784474,/nepremicnine/lokacija-stanovanja-center-125.00-m2-oglas-5784474,29.03.2021_12:40:16
1,6654426,/nepremicnine/prodamo-obnovljeno-1.5-sobno-stanovanje-v-rusah-oglas-6654426,29.03.2021_12:40:16
2,6624845,/nepremicnine/lokacija-stanovanja-kosaki-62.00-m2-oglas-6624845,29.03.2021_12:40:16
3,6624148,/nepremicnine/lokacija-stanovanja-kosaki-68.00-m2-oglas-6624148,29.03.2021_12:40:16
4,6617291,/nepremicnine/maribor-studenci-tabor-novogradnja-3-sobno-teraso-oglas-6617291,29.03.2021_12:40:16
5,6616383,/nepremicnine/lokacija-stanovanja-kosaki-77.00-m2-oglas-6616383,29.03.2021_12:40:16
6,6616201,/nepremicnine/lokacija-stanovanja-kosaki-128.00-m2-oglas-6616201,29.03.2021_12:40:16
7,6608652,/nepremicnine/maribor-kosaki-novogradnja-4-sobno-penthouse-stanovanje-oglas-6608652,29.03.2021_12:40:16
8,3577634,/nepremicnine/maribor-studenci-106.00-m2-4-sobno-novogradnja-oglas-3577634,29.03.2021_12:40:16
9,3576924,/nepremicnine/maribor-studenci-104.00-m2-4-sobno-dva-balkona-novogradnja-oglas-3576924,29.03.2021_12:40:16
10,3561472,/nepremicnine/maribor-studenci-104.00-m2-novogradnja-2-sobno-z-atrijem-oglas-3561472,29.03.2021_12:40:16
11,3161746,/nepremicnine/lokacija-stanovanja-studenci-189.00-m2-novogradnja-oglas-3161746,29.03.2021_12:40:16
12,6654279,/nepremicnine/lokacija-stanovanja-lokrovec-oglas-6654279,29.03.2021_12:40:16
13,1452831,/nepremicnine/stanovanje-pomurska-murska-sobota-center-murska-sobota-2-sobno-oglas-1452831,29.03.2021_12:40:16
14,6654107,/nepremicnine/stanovanje-studenci-90.80-m2-oglas-6654107,29.03.2021_12:40:16
15,6654090,/nepremicnine/lokacija-stanovanja-bs-3-44.00-m2-oglas-6654090,29.03.2021_12:40:16
16,6654027,/nepremicnine/lokacija-stanovanja-trnovo-40.00-m2-oglas-6654027,29.03.2021_12:40:16
17,5298888,/nepremicnine/lokacija-stanovanja-studenci-90.00-m2-oglas-5298888,29.03.2021_12:40:16
18,4383951,/nepremicnine/panoramsko-pametno-stanovanje-rezidenca-sunset-elite-maribor-oglas-4383951,29.03.2021_12:40:16
19,4359089,/nepremicnine/nadstandardno-pametno-stanovanje-oglas-4359089,29.03.2021_12:40:16
20,2218823,/nepremicnine/premium-pametna-stanovanja-rezidenca-sunset-elite-maribor-oglas-2218823,29.03.2021_12:40:16
21,3971372,/nepremicnine/lokacija-stanovanja-mala-kostrevnica-oglas-3971372,29.03.2021_12:40:16
22,6650467,/nepremicnine/enosobno-stanovanje-ptuj-oglas-6650467,29.03.2021_12:40:16
23,6649324,/nepremicnine/prodamo-3-sobno-stanovanje-odlicni-lokaciji-mb-center-oglas-6649324,29.03.2021_12:40:16
24,6648388,/nepremicnine/lokacija-stanovanja-koroska-bela-115.00-m2-oglas-6648388,29.03.2021_12:40:16
