,Ad_ID,Ad_Link,datetime
0,6523968,/nepremicnine/lokacija-stanovanja-ljubljanska-cesta-86.00-m2-oglas-6523968,14.03.2021_19:37:10
1,6523894,/nepremicnine/prenovljena-garsonjera-v-samem-centru-ljubljani-v-urejeni-stavbi-oglas-6523894,14.03.2021_19:37:10
2,6523589,/nepremicnine/lokacija-stanovanja-trzic-11.00-m2-oglas-6523589,14.03.2021_19:37:10
3,6523431,/nepremicnine/lokacija-stanovanja-slovenske-konjice-oglas-6523431,14.03.2021_19:37:10
4,6523190,/nepremicnine/prodam-1.5-sobno-stanovanje-bezigradom-oglas-6523190,14.03.2021_19:37:10
5,4980667,/nepremicnine/lokacija-stanovanja-kidricevo-59.00-m2-oglas-4980667,14.03.2021_19:37:10
6,6522471,/nepremicnine/krakovska-10a-oglas-6522471,14.03.2021_19:37:10
7,6522357,/nepremicnine/lokacija-stanovanja-podvelka-52.00-m2-oglas-6522357,14.03.2021_19:37:10
8,6522107,/nepremicnine/lokacija-stanovanja-vrhnika-60.00-m2-oglas-6522107,14.03.2021_19:37:10
9,1459215,/nepremicnine/stanovanje-osrednjeslovenska-ljubljana-bezigrad-bs3-1.5-sobno-oglas-1459215,14.03.2021_19:37:10
10,6521099,/nepremicnine/lokacija-stanovanja-velenje-oglas-6521099,14.03.2021_19:37:10
11,6520120,/nepremicnine/lokacija-stanovanja-vas-78.00-m2-oglas-6520120,14.03.2021_19:37:10
12,6520057,/nepremicnine/lokacija-stanovanja-dornava-oglas-6520057,14.03.2021_19:37:10
13,6520021,/nepremicnine/lokacija-stanovanja-ptuj-24.00-m2-oglas-6520021,14.03.2021_19:37:10
14,6519881,/nepremicnine/lokacija-stanovanja-murska-sobota-14.00-m2-oglas-6519881,14.03.2021_19:37:10
15,6519704,/nepremicnine/prodam-stanovanje-med-mariborom-in-ptujem-80.00-m2-dvosobno-oglas-6519704,14.03.2021_19:37:10
16,5569668,/nepremicnine/lokacija-stanovanja-kocevje-43.00-m2-oglas-5569668,14.03.2021_19:37:10
17,3174984,/nepremicnine/lokacija-stanovanja-center-200.00-m2-oglas-3174984,14.03.2021_19:37:10
18,1448717,/nepremicnine/stanovanje-podravska-maribor-tabor-3-sobno-100-m2-prodam-oglas-1448717,14.03.2021_19:37:10
19,1452932,/nepremicnine/stanovanje-podravska-maribor-center-podstresje-5-in-vecsobno-oglas-1452932,14.03.2021_19:37:10
20,6515431,/nepremicnine/prodaja-stanovanje-trisobno-savinjska-celje-celje-oglas-6515431,14.03.2021_19:37:10
21,6515122,/nepremicnine/prodaja-stanovanje-dvosobno-podravska-maribor-studenci-oglas-6515122,14.03.2021_19:37:10
22,6325861,/nepremicnine/prodam-lepo-3-sobno-v-celoti-prenovljeno-stanovanje-oglas-6325861,14.03.2021_19:37:10
23,6514832,/nepremicnine/lokacija-stanovanja-vir-70.00-m2-oglas-6514832,14.03.2021_19:37:10
24,6514758,/nepremicnine/lokacija-stanovanja-moravske-toplice-26.00-m2-oglas-6514758,14.03.2021_19:37:10
25,6078810,/nepremicnine/lokacija-stanovanja-studenci-49.00-m2-oglas-6078810,14.03.2021_19:37:11
26,3211042,/nepremicnine/stanovanje-savinjska-celje-vas-trg-3-sobno-118-m2-oglas-3211042,14.03.2021_19:37:11
27,5298888,/nepremicnine/lokacija-stanovanja-studenci-90.00-m2-oglas-5298888,14.03.2021_19:37:11
28,4383951,/nepremicnine/panoramsko-pametno-stanovanje-rezidenca-sunset-elite-maribor-oglas-4383951,14.03.2021_19:37:11
29,4359089,/nepremicnine/nadstandardno-pametno-stanovanje-oglas-4359089,14.03.2021_19:37:11
30,2218823,/nepremicnine/premium-pametna-stanovanja-rezidenca-sunset-elite-maribor-oglas-2218823,14.03.2021_19:37:11
